pokemon_species_id,held_item_id,move_ids,nature_id,evs,used_in_battle_factory
88,128,124;317;151;107,19,170;0;170;0;170;0,1
98,207,152;341;175;282,1,252;252;0;0;0;0,1
102,133,93;246;73;113,17,252;0;0;252;0;0,1
133,180,204;213;175;203,7,252;0;0;0;0;252,1
96,135,93;29;50;112,19,170;170;0;170;0;0,1
100,232,209;103;205;113,7,252;0;0;252;0;0,1
170,232,209;291;109;36,1,0;252;0;252;0;0,1
216,127,290;313;185;156,22,252;252;0;0;0;0,1
225,223,217;301;332;258,7,252;0;0;252;0;0,1
228,226,242;52;46;182,7,252;0;0;252;0;0,1
231,232,205;111;317;201,17,252;252;0;0;0;0,1
325,135,149;340;277;109,22,252;0;0;252;0;0,1
304,133,232;332;319;46,7,252;252;0;0;0;0,1
370,194,186;213;291;240,22,252;0;0;252;0;0,1
72,128,61;51;112;35,1,170;170;0;170;0;0,1
331,135,302;185;178;28,19,252;252;0;0;0;0,1
201,232,237,1,170;170;0;170;0;0,0
109,222,124;108;259;114,19,252;252;0;0;0;0,1
120,230,61;107;129;113,19,252;0;0;252;0;0,1
188,133,72;93;178;235,7,252;0;0;252;0;0,1
274,135,326;252;13;185,1,252;0;0;252;0;0,1
271,232,352;252;280;71,19,252;252;0;0;0;0,1
329,126,225;91;103;317,19,252;252;0;0;0;0,1
111,207,350;91;184;46,1,252;252;0;0;0;0,1
366,204,291;92;334;104,7,170;0;170;0;170;0,1
17,191,332;98;297;28,19,252;252;0;0;0;0,1
58,129,172;44;46;97,7,252;0;0;252;0;0,1
83,236,163;282;14;97,22,170;0;170;0;170;0,1
138,135,341;55;246;321,19,170;170;0;170;0;0,1
140,135,72;246;28;182,1,0;252;0;252;0;0,1
345,232,246;51;275;109,7,252;252;0;0;0;0,1
347,209,232;210;246;55,1,252;252;0;0;0;0,1
190,228,154;28;226;97,22,252;252;0;0;0;0,1
239,126,9;98;129;113,20,252;0;0;252;0;0,1
294,207,23;336;310;48,22,252;252;0;0;0;0,1
327,135,146;298;60;185,22,252;252;0;0;0;0,1
30,207,24;44;332;260,19,252;252;0;0;0;0,1
33,207,24;352;189;260,19,252;252;0;0;0;0,1
180,219,351;86;178;113,8,252;0;0;252;0;0,1
240,232,7;108;109;123,7,252;0;0;252;0;0,1
299,215,157;351;86;201,24,252;0;0;0;252;0,1
222,135,61;243;213;246,12,170;0;170;0;170;0,1
303,190,242;313;334;226,7,252;0;0;252;0;0,1
12,128,318;60;92;18,19,252;0;0;252;0;0,1
15,209,41;228;283;97,17,0;252;0;0;0;252,1
61,181,352;3;196;240,19,252;0;0;252;0;0,1
95,135,157;20;225;201,1,170;0;170;0;170;0,1
267,196,318;72;213;18,7,252;0;0;0;0;252,1
269,199,318;92;60;18,7,252;0;0;0;0;252,1
166,207,4;226;14;97,13,0;252;0;0;0;252,1
168,232,324;169;101;92,25,252;252;0;0;0;0,1
193,232,324;332;104;197,22,0;0;252;0;252;0,1
